City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
477,nicoya,10.1483,-85.452,301.0,78,95,1.34,CR,1730566817
478,turbat,26.0023,63.044,303.2,28,0,3.21,PK,1730567103
479,aral,40.5156,81.2636,284.62,38,1,2.3,CN,1730567104
480,khorixas,-20.3667,14.9667,300.9,25,5,9.3,NA,1730567105
481,luganville,-15.5333,167.1667,298.25,88,91,3.33,VU,1730567106
482,kisangani,0.5167,25.2,296.48,92,92,0.36,CD,1730567107
483,chichihualco,17.6833,-99.65,297.26,70,21,1.82,MX,1730567108
484,lorengau,-2.0226,147.2712,298.95,85,95,2.6,PG,1730567109
485,neratovice,50.2593,14.5176,281.79,79,75,2.57,CZ,1730567110
486,bambanglipuro,-7.95,110.2833,299.27,86,99,0.66,ID,1730567111
487,tianpeng,30.9866,103.9393,291.34,72,100,1.06,CN,1730567112
488,tindouf,27.6711,-8.1474,300.4,12,0,3.09,DZ,1730567113
489,pisco,-13.7,-76.2167,294.27,73,0,5.14,PE,1730567114
490,tuxpan,19.55,-103.4,297.34,77,7,1.84,MX,1730567115
491,battle creek,42.3212,-85.1797,283.31,57,0,0.0,US,1730567093
492,point pedro,9.8167,80.2333,300.81,78,44,4.18,LK,1730567118
493,morant bay,17.8815,-76.4093,301.61,76,9,6.62,JM,1730567119
494,linares,-35.85,-71.6,294.95,41,0,3.62,CL,1730566999
495,boryeong,36.3493,126.5977,288.59,78,0,2.21,KR,1730567121
496,tomatlan,19.9333,-105.25,302.19,45,1,0.71,MX,1730567122
497,carutapera,-1.195,-46.02,304.2,52,65,5.52,BR,1730567124
498,mabaruma,8.2,-59.7833,306.52,49,65,2.62,GY,1730567125
499,byron bay,-28.65,153.6167,292.7,76,93,2.29,AU,1730567126
500,salekhard,66.53,66.6019,269.31,97,83,2.13,RU,1730567127
501,formosa do rio preto,-11.0483,-45.1931,302.11,51,96,3.29,BR,1730567128
502,helena valley southeast,46.6153,-111.9216,277.23,56,100,0.45,US,1730567131
503,jeddah,21.5169,39.2192,305.07,51,0,2.57,SA,1730567034
504,noosa heads,-26.3833,153.15,294.62,83,95,4.86,AU,1730567133
505,betio village,1.358,172.9211,301.17,74,29,5.02,KI,1730567134
506,new plymouth,-39.0667,174.0833,282.49,100,38,3.22,NZ,1730567135
507,solnechnyy,50.7214,136.6319,269.42,92,53,1.05,RU,1730567136
508,canete,-37.8,-73.4,289.52,43,49,3.47,CL,1730566902
509,jiwani,25.05,61.7417,301.15,78,0,7.62,PK,1730567138
510,sofifi,0.7349,127.576,299.45,84,97,1.54,ID,1730567139
511,hadibu,12.65,54.0333,300.02,78,59,2.54,YE,1730566932
512,sikasso,10.9167,-7.0,305.19,37,6,1.36,ML,1730567143
513,inirida,3.8653,-67.9239,309.94,42,33,0.68,CO,1730567144
514,revelstoke,50.9832,-118.2023,278.16,93,100,0.0,CA,1730567145
515,alotau,-10.3069,150.4462,295.39,87,99,1.24,PG,1730567146
516,puerto cabezas,14.0351,-83.3888,304.13,79,40,5.14,NI,1730567147
517,spring creek,40.7266,-115.5859,278.6,73,98,3.59,US,1730567148
518,side,36.7667,31.3885,294.75,70,0,0.44,TR,1730567150
519,hampton bays,40.869,-72.5176,288.17,55,0,5.36,US,1730566939
520,howard springs,-12.497,131.047,298.1,96,36,1.48,AU,1730567153
521,el nido,11.1858,119.3956,298.79,97,51,3.61,PH,1730566917
522,nizhniy odes,63.6445,54.856,270.66,83,98,4.32,RU,1730567156
523,panshi,42.9422,126.0561,279.19,61,36,1.67,CN,1730567157
524,fort bragg,35.139,-79.006,295.0,62,100,4.63,US,1730567158
525,salalah,17.0151,54.0924,301.2,74,0,1.03,OM,1730567160
526,karratha,-20.7377,116.8463,303.42,42,51,5.7,AU,1730567161
527,ar rutbah,33.0381,40.2848,292.42,69,68,3.79,IQ,1730567162
528,loreto,22.2667,-101.9667,294.46,47,17,3.15,MX,1730567163
529,nadym,65.5333,72.5167,272.94,92,100,5.0,RU,1730567164
530,nishinoomote,30.7333,131.0,295.51,75,67,2.62,JP,1730567165
531,mazagao,-0.115,-51.2894,309.01,34,100,2.9,BR,1730566923
532,sars,56.5502,57.1366,276.89,97,100,8.51,RU,1730567167
533,flin flon,54.7682,-101.865,274.06,86,75,3.09,CA,1730567168
534,cidreira,-30.1811,-50.2056,297.15,78,88,6.98,BR,1730567169
535,ponta delgada,37.7333,-25.6667,295.55,78,20,4.12,PT,1730566897
536,hanzhong,33.0728,107.0303,286.62,78,1,0.59,CN,1730567173
537,la maddalena,41.2142,9.4083,292.27,88,39,4.16,IT,1730567174
538,verdal,63.7933,11.4817,276.37,97,100,3.63,NO,1730566930
539,san pedro pochutla,15.7333,-96.4667,305.77,62,44,1.56,MX,1730567176
540,palmer,42.1584,-72.3287,286.66,53,75,6.17,US,1730567177
541,zouerate,22.7187,-12.4521,303.93,15,88,1.73,MR,1730567178
542,magadan,59.5667,150.8,263.5,69,100,4.56,RU,1730567180
543,karabash,55.4808,60.2157,278.66,89,100,6.43,RU,1730567181
